id_experience;id_service;type;description
1;3;Senderos Interpretativos ;Por medio del bici turismo podemos realizar la interpretación del sendero.
2;3;Agrícola;Aprender a ordeñar una vaca, a cultivar, a cuidar un galpón de gallinas.
2;1;Casa Rural ;Alojamiento veredal interactuando con el campesino.
2;2;Casa Rural ;De los productos que hay en cosecha se pueden probar preparaciones hechas por manos campesinas. 
3;3;Agrícola;Labrar, cultivar, sembrar agua
3;2;Casa Rural ;Comer junto con los campesinos, valorar su cultura y su tradición. 
4;1;Hotel rural ;Servicio de termales y quedada en hotel rural 
4;3;Agrícola;Caminar y conocer la historia de el municipio la vereda o el sector. 
1;4;Bici turismo ;Cuando estamos en carro particular y debemos traladarnos de un municipio a otro se puede tomar le bus intermunicipal que es coordinado por la empresa Cootracero. En caso de ser dentro del Municipio, se cuenta con mototaxi y cuatro puertas (el valor de este servicio depende de la distancia recorrida)
2;4;Termalismo;Cuando estamos en carro particular y debemos traladarnos de un municipio a otro se puede tomar le bus intermunicipal que es coordinado por la empresa Cootracero. En caso de ser dentro del Municipio, se cuenta con mototaxi y cuatro puertas (el valor de este servicio depende de la distancia recorrida)
3;4;Caminatas;Cuando estamos en carro particular y debemos traladarnos de un municipio a otro se puede tomar le bus intermunicipal que es coordinado por la empresa Cootracero. En caso de ser dentro del Municipio, se cuenta con mototaxi y cuatro puertas (el valor de este servicio depende de la distancia recorrida)
4;4;Talleres demostrativos;Cuando estamos en carro particular y debemos traladarnos de un municipio a otro se puede tomar le bus intermunicipal que es coordinado por la empresa Cootracero. En caso de ser dentro del Municipio, se cuenta con mototaxi y cuatro puertas (el valor de este servicio depende de la distancia recorrida)